2025-12-25 08:32:51 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-12-25 08:32:51 [main] INFO  org.dromara.DromaraApplication - Starting DromaraApplication using Java 24.0.2 with PID 28620 (D:\test\ruoyi\RuoYi-Vue-Plus-v5.5.1\ruoyi-admin\target\classes started by dmx in D:\test\ruoyi)
2025-12-25 08:32:51 [main] INFO  org.dromara.DromaraApplication - The following 1 profile is active: "dev"
2025-12-25 08:32:56 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-25 08:32:57 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-25 08:32:57 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-25 08:32:57 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@7baf7e2c
2025-12-25 08:32:57 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-25 08:32:57 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-25 08:32:57 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-25 08:33:00 [main] INFO  o.d.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-25 08:33:00 [main] INFO  org.redisson.Version - Redisson 3.51.0
2025-12-25 08:33:00 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-25 08:33:00 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-25 08:33:01 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: C:\Users\dmx/snailJob/worker
2025-12-25 08:33:01 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: C:\Users\dmx/snailJob/worker
2025-12-25 08:33:01 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: C:\Users\dmx/snailJob/worker
2025-12-25 08:33:02 [main] INFO  o.d.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-25 08:33:02 [main] INFO  c.a.s.c.s.SnailJobClientJobCoreAutoConfiguration - Snail-Job 客户端IP为: 172.31.48.1
2025-12-25 08:33:02 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@41beb473
2025-12-25 08:33:05 [main] INFO  o.d.w.p.modes.sb.config.BeanConfig - 【warm-flow】，加载完成
2025-12-25 08:33:06 [main] INFO  io.undertow - starting server: Undertow - 2.3.20.Final
2025-12-25 08:33:06 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2025-12-25 08:33:06 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2025-12-25 08:33:06 [main] INFO  org.jboss.threads - JBoss Threads version 3.7.0.Final
2025-12-25 08:33:06 [main] INFO  org.dromara.DromaraApplication - Started DromaraApplication in 15.628 seconds (process running for 16.211)
2025-12-25 08:33:06 [main] INFO  o.d.c.sse.listener.SseTopicListener - 初始化SSE主题订阅监听器成功
2025-12-25 08:33:06 [main] INFO  c.a.s.c.c.init.SnailJobStartListener - snail-job client is preparing to start... v1.8.0
2025-12-25 08:33:06 [main] INFO  c.a.s.c.c.r.c.g.SnailJobGrpcClient - gRPC client started connect to server
2025-12-25 08:33:06 [main] INFO  c.a.s.c.c.rpc.server.SnailGrpcServer - ------> snail-job remoting server start success, grpc = com.aizuda.snailjob.client.common.rpc.server.SnailGrpcServer, port = 28080
2025-12-25 08:33:07 [main] INFO  c.a.s.c.c.init.SnailJobStartListener - snail-job client started successfully v1.8.0
2025-12-25 08:33:07 [main] INFO  o.d.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-12-25 09:04:17 [XNIO-1 task-3] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-25 09:04:17 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/code],无参数
2025-12-25 09:04:17 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2025-12-25 09:04:17 [XNIO-1 task-3] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 20, 剩余令牌 => 19, 缓存key => 'global:rate_limit:/auth/tenant/list:0:0:0:0:0:0:0:1:'
2025-12-25 09:04:17 [XNIO-1 task-2] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 10, 剩余令牌 => 9, 缓存key => 'global:rate_limit:/auth/code:0:0:0:0:0:0:0:1:'
2025-12-25 09:04:17 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[180]毫秒
2025-12-25 09:04:17 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/code],耗时:[312]毫秒
2025-12-25 09:05:52 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /auth/login],参数类型[json],参数:[{"tenantId":"000000","username":"admin","password":"admin123","rememberMe":true,"uuid":"9a1801616f924726840eb39bad5feaea","code":"1","clientId":"e5cd7e4891bf95d1d19206ce24a7b32e","grantType":"password"}]
2025-12-25 09:05:53 [async-1] INFO  o.d.s.s.i.SysLogininforServiceImpl - [0:0:0:0:0:0:0:1]内网IP[admin][Success][登录成功]
2025-12-25 09:05:53 [XNIO-1 task-2] INFO  o.d.web.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJaMjBad1Z4Mm1CTUhRZEtqOWNaMGVJbmVaYWxaRXBVdiIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.ZekMtKG8ja-mNI2JRcztMJeNeEN3I7mOmh9GF9ReklM
2025-12-25 09:05:53 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /auth/login],耗时:[782]毫秒
2025-12-25 09:05:53 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/getInfo],无参数
2025-12-25 09:05:53 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/getInfo],耗时:[228]毫秒
2025-12-25 09:05:54 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/getRouters],无参数
2025-12-25 09:05:54 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/getRouters],耗时:[173]毫秒
2025-12-25 09:05:54 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2025-12-25 09:05:54 [XNIO-1 task-2] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 20, 剩余令牌 => 19, 缓存key => 'global:rate_limit:/auth/tenant/list:0:0:0:0:0:0:0:1:'
2025-12-25 09:05:54 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /resource/sse],参数类型[param],参数:[{"Authorization":["Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJaMjBad1Z4Mm1CTUhRZEtqOWNaMGVJbmVaYWxaRXBVdiIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.ZekMtKG8ja-mNI2JRcztMJeNeEN3I7mOmh9GF9ReklM"],"clientid":["e5cd7e4891bf95d1d19206ce24a7b32e"]}]
2025-12-25 09:05:54 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[14]毫秒
2025-12-25 09:05:58 [schedule-pool-5] INFO  o.d.c.sse.core.SseEmitterManager - SSE发送主题订阅消息topic:global:sse session keys:[1] message:欢迎登录RuoYi-Vue-Plus后台管理系统
2025-12-25 09:05:58 [redisson-3-2] INFO  o.d.c.sse.listener.SseTopicListener - SSE主题订阅收到消息session keys=[1] message=欢迎登录RuoYi-Vue-Plus后台管理系统
2025-12-25 09:09:34 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /],无参数
2025-12-25 09:09:34 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /],耗时:[2]毫秒
